Accept	   Menerima
Agree	   Setuju
Approve	   Menyetujui
Attack	   Menyerang
Angry      marah
Basic      Dasar
Beautifull Cantik
Believe	   Percaya
Borrow	   Meminjam
Big        Besar
Boring     Membosankan
Care	   Peduli
Cool       Dingin
Drink	   Minum
Dream	   Mimpi
Eat	   Makan
Fresh      Segar
Fat        Gendut
Follow	   Mengikuti
Forget	   Lupa
Go	   Pergi
Get	   Mendapatkan
Happy      Senang
Healthy    Sehat
Helpful    Bermanfaat
Hot        Panas
Important  Penting
Impossible Mustahil
Join	   Bergabung
Kick	   Menendang
Lazy       Malas
Little     Kecil
Long       Panjang
Old        Tua
Pretty     Cantik
Quickly	   Segera
Read	   Membaca
Smart      Pintar
Stupid     Bodoh
Soft       Lembut
Short      Pendek
Slim       Langsing
Tall       Tinggi
Ugly       Jelek
Understand Mengerti
Visit	   Mengunjungi
WAIT	   Tunggu
Xanthous   Kuning
Young      Muda
Yummy	   Lezat
Zealous	   Tekun
Zippy	   Bergairah

